id,unix_time,gps_x_dec,gps_y_dec,wojewodztwo,miejscowosc,ulica,predkosc_dopuszczalna,rodzaj_nawierzchni,warunki_atmosferyczne,obszar_zabudowany,czy_sygnalizacja_swietlna
125864270,1704199216.0,15.530750000000001,52.24736111111111,WOJ. LUBUSKIE,ŚWIEBODZIN,PLAC WOLNOŚCI,50,01,04,01,03
125863162,1704177516.0,14.565083333333334,52.34858333333334,WOJ. LUBUSKIE,SŁUBICE,KOŚCIUSZKI,50,01,04,01,03
125963392,1704181380.0,14.650861111111112,52.58613888888889,WOJ. LUBUSKIE,KOSTRZYN NAD ODRĄ,SIKORSKIEGO,30,01,01,01,03
125865173,1704216037.0,14.763861111111112,52.63805555555555,WOJ. LUBUSKIE,KAMIEŃ MAŁY,,50,01,05,01,03
125860907,1704191225.0,14.667222222222222,52.32427777777778,WOJ. LUBUSKIE,,,140,01,04,02,03
125865251,1704208695.0,15.305972222222223,52.094,WOJ. LUBUSKIE,,,90,01,05,02,03
125865313,1704229104.0,15.226694444444444,52.73041666666667,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,ALEJA KONSTYTUCJI 3 MAJA,50,01,04,01,02
125861072,1704205717.0,15.233666666666666,52.74469444444445,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,WYSZYŃSKIEGO,50,01,04,01,03
125865205,1704213695.0,15.235638888888888,52.74197222222222,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,MICKIEWICZA,50,01,04,01,03
125860908,1704192554.0,15.227805555555555,52.740027777777776,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,KOSYNIERÓW GDYŃSKICH,50,01,01,01,02
125864331,1704209738.0,14.744,52.33408333333333,WOJ. LUBUSKIE,,,140,01,05,02,03
125863173,1704183780.0,14.644444444444444,52.325500000000005,WOJ. LUBUSKIE,,,140,01,01,02,03
125863367,1704218620.0,15.551111111111112,52.232305555555556,WOJ. LUBUSKIE,,,50,01,04,02,03
125865209,1704222104.0,14.902583333333334,52.6695,WOJ. LUBUSKIE,WITNICA,DROGA JANA PAWŁA II,50,01,05,01,03
125865336,1704227937.0,14.562361111111112,52.34886111111111,WOJ. LUBUSKIE,SŁUBICE,KOŚCIUSZKI,50,01,05,01,02
125865289,1704217341.0,15.154805555555557,52.74311111111111,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,ZŁOTEGO SMOKA,50,01,04,01,03
125867119,1704295157.0,14.575111111111111,52.348222222222226,WOJ. LUBUSKIE,SŁUBICE,1GO MAJA,50,01,05,01,01
125867373,1704307283.0,15.427107,52.20707,WOJ. LUBUSKIE,OŁOBOK,WOJCIECHOWSKIEGO,20,01,04,01,03
125867135,1704299552.0,15.24036111111111,52.69141666666666,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,NIWICKA,50,01,05,01,03
125925633,1704288600.0,15.322916666666666,51.61327777777778,WOJ. LUBUSKIE,ŻAGAŃ,LIBELTA,20,01,01,01,03
125988567,1704299100.0,15.256388888888889,52.73777777777778,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,PODMIEJSKA,50,01,01,01,01
125865532,1704257287.0,15.592305555555557,51.54897222222222,WOJ. LUBUSKIE,,,90,01,04,02,03
125866507,1704317861.0,14.979277777777778,52.80280555555555,WOJ. LUBUSKIE,ŚCIECHÓW,,90,01,01,02,03
125865539,1704266787.0,14.627333333333334,52.349000000000004,WOJ. LUBUSKIE,KUNOWICE,SŁUBICKA,50,01,05,01,03
125866508,1704313181.0,14.650777777777778,52.58947222222223,WOJ. LUBUSKIE,KOSTRZYN NAD ODRĄ,SIKORSKIEGO,50,01,01,01,02
125867333,1704305511.0,15.293194444444444,52.74925,WOJ. LUBUSKIE,WAWRÓW,,50,01,05,01,03
125875608,1704294000.0,15.502555555555556,51.934555555555555,WOJ. LUBUSKIE,ZIELONA GÓRA,FABRYCZNA,50,01,01,01,03
125867246,1704297853.0,15.7295,51.748666666666665,WOJ. LUBUSKIE,,,90,01,04,02,03
125865673,1704266444.0,15.502,52.432944444444445,WOJ. LUBUSKIE,KĘSZYCA-KOLONIA,,90,01,05,02,03
125865453,1704255945.0,15.600027777777777,51.72811111111111,WOJ. LUBUSKIE,,,70,01,05,02,03
125865899,1704285506.0,15.703194444444444,51.80427777777778,WOJ. LUBUSKIE,NOWA SÓL,FREDRY,40,01,01,01,03
125866036,1704293422.0,15.6345,52.08302777777778,WOJ. LUBUSKIE,KRĘŻOŁY,ŻURAWIA,40,01,04,01,03
125865642,1704271344.0,15.448805555555555,51.59136111111111,WOJ. LUBUSKIE,,,90,01,01,02,03
125866303,1704281399.0,14.677777777777777,52.325583333333334,WOJ. LUBUSKIE,,,140,01,01,02,03
125865388,1704258339.0,15.406916666666667,52.503055555555555,WOJ. LUBUSKIE,BLEDZEW,SZKOLNA,90,01,05,02,03
125865615,1704271332.0,15.164416666666668,51.96736111111111,WOJ. LUBUSKIE,,,90,01,03,02,03
125866042,1704282560.0,15.137416666666667,51.7365,WOJ. LUBUSKIE,BIEDRZYCHOWICE DOLNE,,40,01,01,01,03
125866376,1704284700.0,15.62513888888889,52.08902777777778,WOJ. LUBUSKIE,SULECHÓW,WOLNOŚCI,20,01,01,01,03
125867414,1704311186.0,15.38525,52.43922222222222,WOJ. LUBUSKIE,TEMPLEWO PGR,TEMPLEWO,90,01,01,02,03
125867148,1704297258.0,14.829972222222223,51.58219444444445,WOJ. LUBUSKIE,,,90,01,04,02,03
125866247,1704282394.0,15.234916666666665,52.74583333333334,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,PIŁSUDSKIEGO,50,01,01,01,03
125866489,1704312626.0,14.814176,52.541965,WOJ. LUBUSKIE,SŁOŃSK,,90,01,05,02,03
125875621,1704319800.0,15.514222222222223,51.93608333333333,WOJ. LUBUSKIE,ZIELONA GÓRA,WROCŁAWSKA,50,01,05,01,03
125865706,1704278711.0,15.520333333333333,51.93394444444444,WOJ. LUBUSKIE,ZIELONA GÓRA,WROCŁAWSKA,50,01,01,01,03
125866367,1704299070.0,15.628027777777778,52.08452777777778,WOJ. LUBUSKIE,SULECHÓW,LICEALNA,50,01,05,01,03
125865974,1704288417.0,15.524861111111113,51.93252777777778,WOJ. LUBUSKIE,ZIELONA GÓRA,WROCŁAWSKA,50,01,04,01,03
125867404,1704317307.0,15.589944444444445,51.93561111111111,WOJ. LUBUSKIE,ZIELONA GÓRA,STARY KISIELIN-PIONIERÓW LUBUSKICH,40,01,05,01,03
125867389,1704307507.0,15.520083333333334,51.95191666666667,WOJ. LUBUSKIE,ZIELONA GÓRA,SULECHOWSKA,50,01,05,01,03
125867352,1704310248.0,15.497638888888888,51.953138888888894,WOJ. LUBUSKIE,ZIELONA GÓRA,ENERGETYKÓW,50,01,04,01,03
125875601,1704259320.0,15.502833333333333,51.93705555555555,WOJ. LUBUSKIE,ZIELONA GÓRA,PLAC SŁOWIAŃSKI,50,01,01,01,03
125865964,1704289511.0,14.6235,52.34733333333334,WOJ. LUBUSKIE,KUNOWICE,SŁUBICKA,50,01,04,01,03
125865369,1704261437.0,15.23236111111111,52.73886111111111,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,MIESZKA I,50,01,05,01,03
125865984,1704291919.0,15.508944444444445,51.94280555555555,WOJ. LUBUSKIE,ZIELONA GÓRA,PLAC BOHATERÓW WESTERPLATTE,50,01,01,01,03
125865331,1704239100.0,15.502166666666668,51.939277777777775,WOJ. LUBUSKIE,ZIELONA GÓRA,REJA,50,01,04,01,03
125866424,1704304055.0,15.497666666666666,51.95316666666667,WOJ. LUBUSKIE,ZIELONA GÓRA,ENERGETYKÓW,50,01,04,01,03
125870473,1704257100.0,15.59975,51.728722222222224,WOJ. LUBUSKIE,,,70,01,05,02,03
125867391,1704306731.0,15.541416666666667,52.287416666666665,WOJ. LUBUSKIE,,,120,01,05,02,03
125868168,1704266100.0,15.4535,52.15258333333333,WOJ. LUBUSKIE,OŁOBOK,WOJCIECHOWSKIEGO,50,01,01,01,03
125875605,1704262320.0,15.496805555555556,51.935694444444444,WOJ. LUBUSKIE,ZIELONA GÓRA,DŁUGA,50,01,04,01,01
125865960,1704287467.0,15.322,51.617472222222226,WOJ. LUBUSKIE,ŻAGAŃ,JANA PAWŁA II,50,01,01,01,03
125871212,1704391380.0,15.139999999999999,51.654805555555555,WOJ. LUBUSKIE,,,70,01,05,02,03
125870140,1704395538.0,14.564,52.359833333333334,WOJ. LUBUSKIE,SŁUBICE,WOJSKA POLSKIEGO,40,01,04,01,03
125868081,1704386627.0,14.640944444444443,52.59444444444445,WOJ. LUBUSKIE,KOSTRZYN NAD ODRĄ,ORŁA BIAŁEGO,50,01,05,01,03
125868009,1704387180.0,15.295388888888889,52.32983333333333,WOJ. LUBUSKIE,ŁAGÓW,SPACEROWA,50,01,04,01,03
125866740,1704362940.0,15.170222222222222,51.61552777777778,WOJ. LUBUSKIE,ŻARY,ALEJA WOJSKA POLSKIEGO,50,01,05,01,03
125867911,1704379406.0,15.259611111111111,52.734722222222224,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,WARSZAWSKA,50,01,05,01,03
125869208,1704377226.0,15.522472222222223,51.95633333333333,WOJ. LUBUSKIE,ZIELONA GÓRA,SULECHOWSKA,50,01,03,01,03
125867872,1704374881.0,16.11327,51.787327,WOJ. LUBUSKIE,KRZEPIELÓW,,40,01,04,01,03
125874222,1704356400.0,15.694777777777778,52.77238888888889,WOJ. LUBUSKIE,,,90,01,04,02,03
125867744,1704368096.0,15.697361111111112,51.807138888888886,WOJ. LUBUSKIE,NOWA SÓL,STASZICA,50,01,04,01,01
125869189,1704393740.0,15.507138888888889,51.91408333333333,WOJ. LUBUSKIE,ZIELONA GÓRA,ZAWISZY CZARNEGO,50,01,04,01,03
125866795,1704368463.0,15.519305555555556,51.93944444444444,WOJ. LUBUSKIE,ZIELONA GÓRA,PODGÓRNA,40,01,04,01,03
125870153,1704397335.0,15.525277777777779,51.957638888888894,WOJ. LUBUSKIE,ZIELONA GÓRA,SULECHOWSKA,20,01,05,01,03
125869162,1704392105.0,15.53013888888889,51.93919444444444,WOJ. LUBUSKIE,ZIELONA GÓRA,PODGÓRNA,50,01,01,01,01
125867886,1704377892.0,15.476722222222222,51.954638888888894,WOJ. LUBUSKIE,ZIELONA GÓRA,ZJEDNOCZENIA,50,01,04,01,03
125866653,1704350293.0,15.52438888888889,51.93977777777778,WOJ. LUBUSKIE,ZIELONA GÓRA,WARYŃSKIEGO,50,01,04,01,01
125867712,1704363131.0,14.650527777777778,52.58947222222223,WOJ. LUBUSKIE,KOSTRZYN NAD ODRĄ,PIASTOWSKA,50,01,04,01,01
125867509,1704348113.0,15.268638888888889,52.75775,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,WALCZAKA,50,01,04,01,03
125870125,1704387699.0,15.121444444444444,51.634972222222224,WOJ. LUBUSKIE,ŻARY,KATOWICKA,50,01,05,01,03
125866709,1704345900.0,14.937583333333334,51.844166666666666,WOJ. LUBUSKIE,GRABKÓW,,50,01,05,01,03
125876049,1704383160.0,14.9135,51.59538888888889,WOJ. LUBUSKIE,,,90,01,04,02,03
125867841,1704369921.0,15.167333333333334,52.7165,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,KOSTRZYŃSKA,50,01,01,01,03
125877495,1704355200.0,15.526361111111111,51.94280555555555,WOJ. LUBUSKIE,ZIELONA GÓRA,ZAMENHOFA,50,01,01,01,03
125877562,1704368100.0,15.488944444444444,51.92838888888889,WOJ. LUBUSKIE,ZIELONA GÓRA,ANIELI KRZYWOŃ,50,01,04,01,03
125867455,1704347284.0,15.211694444444444,52.73577777777778,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,MATEJKI,50,01,05,01,03
125877499,1704362100.0,15.553,51.93688888888889,WOJ. LUBUSKIE,ZIELONA GÓRA,POMORSKIE,20,01,01,01,03
125972903,1704389400.0,15.253916666666667,52.74616666666667,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,WALCZAKA,50,01,01,01,03
125972810,1704366900.0,15.239444444444443,52.74805555555556,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,WYSZYŃSKIEGO,50,01,05,01,03
125866555,1704347284.0,15.242916666666666,52.733250000000005,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,JAGIEŁŁY,50,01,04,01,03
125867743,1704361367.0,15.149805555555556,51.63583333333333,WOJ. LUBUSKIE,ŻARY,MICKIEWICZA,50,01,05,01,03
125867421,1704325914.0,15.265722222222223,52.76463888888889,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,OBROŃCÓW POKOJU,50,01,01,01,03
125869133,1704392605.0,15.529666666666667,52.24736111111111,WOJ. LUBUSKIE,ŚWIEBODZIN,KAWALERYJSKA,50,01,04,01,03
125866896,1704370951.0,15.199555555555555,51.50036111111111,WOJ. LUBUSKIE,IŁOWA,ŻAGAŃSKA,50,01,04,01,03
125868003,1704386138.0,15.247555555555556,52.73363888888889,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,WARSZAWSKA,50,01,05,01,03
125867977,1704381305.0,14.722027777777777,51.95225,WOJ. LUBUSKIE,GUBIN,CHROBREGO,50,01,05,01,03
125972930,1704454500.0,15.253333333333334,52.741083333333336,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,ZAMENHOFA,50,01,04,01,03
125870291,1704439080.0,14.902134,52.295319,WOJ. LUBUSKIE,LUBIN,,90,01,01,02,03
125869707,1704474362.0,15.266194444444444,51.81111111111111,WOJ. LUBUSKIE,,,70,01,04,02,03
125869670,1704468670.0,15.505833333333333,51.94197222222222,WOJ. LUBUSKIE,ZIELONA GÓRA,WESTERPLATTE,50,01,01,01,03
125871075,1704482028.0,15.420388888888889,52.73313888888889,WOJ. LUBUSKIE,LIPKI WIELKIE,SZOSOWA,50,01,06,01,03
125869394,1704441929.0,15.541166666666667,52.881,WOJ. LUBUSKIE,STRZELCE KRAJEŃSKIE,WOJSKA POLSKIEGO,50,01,01,01,03
125870980,1704476575.0,15.154250000000001,52.74611111111111,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,SZCZECIŃSKA,50,01,06,01,03
125870870,1704473945.0,15.21786111111111,52.741166666666665,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,FREDRY,50,01,06,01,03
125870390,1704448399.0,15.124527777777779,51.63913888888889,WOJ. LUBUSKIE,ŻARY,MONIUSZKI,50,01,04,01,03
125870584,1704452940.0,15.565000000000001,52.44069444444444,WOJ. LUBUSKIE,MIĘDZYRZECZ,KRASIŃSKIEGO,50,01,05,01,03
125869635,1704462462.0,15.250027777777778,51.79761111111111,WOJ. LUBUSKIE,NOWOGRÓD BOBRZAŃSKI,,50,01,04,01,03
125869513,1704453126.0,15.499388888888888,51.92413888888888,WOJ. LUBUSKIE,ZIELONA GÓRA,BOTANICZNA,50,01,04,01,03
125870987,1704468000.0,15.114916666666666,51.661,WOJ. LUBUSKIE,,,90,01,05,02,03
125870342,1704441197.0,15.729583333333334,51.76463888888889,WOJ. LUBUSKIE,NOWE ŻABNO,,40,01,04,02,03
125871041,1704486473.0,15.710638888888889,51.80605555555555,WOJ. LUBUSKIE,NOWA SÓL,PARKOWA,50,01,04,01,03
125870635,1704468120.0,15.249416666666665,51.79736111111111,WOJ. LUBUSKIE,NOWOGRÓD BOBRZAŃSKI,,50,01,04,01,03
125872107,1704494268.0,14.614833333333333,52.32527777777778,WOJ. LUBUSKIE,ŚWIECKO,,60,01,01,02,03
125869762,1704489260.0,15.37113888888889,51.94933333333333,WOJ. LUBUSKIE,RADOMIA,,50,01,04,01,03
125870611,1704460850.0,15.539888888888889,52.248805555555556,WOJ. LUBUSKIE,ŚWIEBODZIN,ŁĄKI ZAMKOWE,50,01,04,01,01
125870828,1704474299.0,15.295277777777777,52.32911111111112,WOJ. LUBUSKIE,ŁAGÓW,SPACEROWA,50,01,04,01,03
125869450,1704448324.0,15.713249999999999,51.802527777777776,WOJ. LUBUSKIE,NOWA SÓL,WOJSKA POLSKIEGO,50,01,04,01,03
125871009,1704482257.0,15.599222222222222,51.92502777777778,WOJ. LUBUSKIE,,,90,01,04,02,03
125869496,1704452160.0,15.498638888888888,51.93308333333333,WOJ. LUBUSKIE,ZIELONA GÓRA,JASKÓŁCZA,50,01,05,01,03
125897770,1704490500.0,15.912138888888888,53.08272222222222,WOJ. LUBUSKIE,MOCZELE,,40,01,04,01,03
125972909,1704449400.0,15.256083333333333,52.73769444444444,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,PODMIEJSKA,50,01,01,01,01
125878107,1704477600.0,16.067555555555554,51.87972222222222,WOJ. LUBUSKIE,SŁAWA,ODRODZONEGO WOJSKA POLSKIEGO,20,01,01,01,03
125891120,1704430800.0,15.492888888888888,51.92922222222222,WOJ. LUBUSKIE,ZIELONA GÓRA,WYSZYŃSKIEGO,50,01,01,01,03
